model,revision,method,context,batch,tp,v_rank,base_rank,residual_rank,page_size,sparse_budget,sink,recent,k_residency,dtype,gpu,repeat,run_id,stage,median_ms,p10_ms,p90_ms,collective,communicated_width,communicated_elements_per_rank,payload_bytes_per_rank,ring_bytes_per_rank
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,1,c1_ar_b1,total,0.08736000210046768,0.0854720026254654,0.09430400282144547,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,1,basiskv_ag_b1,projection,0.012480000033974648,0.012191999703645706,0.014303999952971935,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,1,basiskv_ag_b1,collective,0.016416000202298164,0.015744000673294067,0.017632000148296356,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,1,basiskv_ag_b1,reconstruction,0.02470399998128414,0.02457600086927414,0.024992000311613083,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,1,basiskv_ag_b1,total,0.04121600091457367,0.04054399952292442,0.04211200028657913,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,dense_ar_b1,projection,0.013104000128805637,0.01283199992030859,0.014015999622642994,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,dense_ar_b1,collective,0.03649599850177765,0.0350399985909462,0.040063999593257904,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,dense_ar_b1,reconstruction,0.009983999654650688,0.009696000255644321,0.010784000158309937,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,dense_ar_b1,total,0.07472000271081924,0.0732479989528656,0.07849600166082382,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_wire_b1,projection,0.023264000192284584,0.017376000061631203,0.026399999856948853,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_wire_b1,collective,0.035551998764276505,0.034304000437259674,0.04281599819660187,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_wire_b1,reconstruction,0.012959999963641167,0.012671999633312225,0.014592000283300877,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_wire_b1,total,0.07051200047135353,0.06876800209283829,0.07785599678754807,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_cap_b1,projection,0.020031999796628952,0.017823999747633934,0.023423999547958374,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_cap_b1,collective,0.03670400008559227,0.03532800078392029,0.041152000427246094,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_cap_b1,reconstruction,0.015744000673294067,0.015552000142633915,0.016831999644637108,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,lr_ar_cap_b1,total,0.07248000055551529,0.0708480030298233,0.07692799717187881,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,c1_ar_b1,projection,0.025919999927282333,0.016992000862956047,0.030208000913262367,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,c1_ar_b1,collective,0.035023998469114304,0.03372799977660179,0.04095999896526337,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,c1_ar_b1,reconstruction,0.02473600022494793,0.024607999250292778,0.02502400055527687,all_reduce,2048,2048,4096,7168.0
