figure,context_tokens,batch,plotted_method,newly_rerun,repeat_index,input_metric,source_file,metric_field,value
2,65536,1,dense_local,False,1,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b1_r1/result.json,aggregate_tokens_per_second,27.722040906023775
2,65536,1,dense_local,False,2,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b1_r2/result.json,aggregate_tokens_per_second,27.656505411188412
2,65536,2,dense_local,False,0,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b2_r0/result.json,aggregate_tokens_per_second,41.24757804355444
2,65536,2,dense_local,False,1,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b2_r1/result.json,aggregate_tokens_per_second,41.115377986649584
2,65536,2,dense_local,False,2,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b2_r2/result.json,aggregate_tokens_per_second,41.09259731910142
2,65536,4,dense_local,False,0,primary,results/system_benchmarks/tp1_capacity/formal/outcomes.json,"status, phase",gpu_oom
2,65536,1,dense_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b1_r0/result.json,aggregate_tokens_per_second,5.074823365815701
2,65536,1,dense_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b1_r1/result.json,aggregate_tokens_per_second,5.082651214036204
2,65536,1,dense_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b1_r2/result.json,aggregate_tokens_per_second,5.078778384783307
2,65536,2,dense_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b2_r0/result.json,aggregate_tokens_per_second,5.416553882416243
2,65536,2,dense_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b2_r1/result.json,aggregate_tokens_per_second,5.41823993368589
2,65536,2,dense_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b2_r2/result.json,aggregate_tokens_per_second,5.418160165272926
2,65536,4,dense_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b4_r0/result.json,aggregate_tokens_per_second,5.613778509430784
2,65536,4,dense_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b4_r1/result.json,aggregate_tokens_per_second,5.619329274147153
2,65536,4,dense_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/dense_k_offload_t65536_b4_r2/result.json,aggregate_tokens_per_second,5.617598328989352
2,65536,8,dense_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/outcomes.json,"status, phase",gpu_oom
2,65536,1,basis_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b1_r0/result.json,aggregate_tokens_per_second,29.326037885597167
2,65536,1,basis_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b1_r1/result.json,aggregate_tokens_per_second,29.361772818413154
2,65536,1,basis_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b1_r2/result.json,aggregate_tokens_per_second,29.39551205282085
2,65536,2,basis_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b2_r0/result.json,aggregate_tokens_per_second,46.0987413300075
2,65536,2,basis_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b2_r1/result.json,aggregate_tokens_per_second,45.983766124953284
2,65536,2,basis_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b2_r2/result.json,aggregate_tokens_per_second,46.25062109125554
2,65536,4,basis_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b4_r0/result.json,aggregate_tokens_per_second,68.21545200640904
2,65536,4,basis_k_offload,False,1,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b4_r1/result.json,aggregate_tokens_per_second,68.18249168171484
2,65536,4,basis_k_offload,False,2,primary,results/system_benchmarks/tp1_capacity/formal/basis_k_offload_t65536_b4_r2/result.json,aggregate_tokens_per_second,68.08589572684156
2,65536,8,basis_k_offload,False,0,primary,results/system_benchmarks/tp1_capacity/formal/outcomes.json,"status, phase",gpu_oom
3,32768,1,dense,False,0,request,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c0_n128/result.json,measurement.request_seconds,8.432535252068192
3,32768,1,dense,False,1,request,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c1_n128/result.json,measurement.request_seconds,8.444956390187144
3,32768,1,dense,False,2,request,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c2_n128/result.json,measurement.request_seconds,8.430578648578376
3,32768,1,dense,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,29.924356152076978
