layer,all_raw_r4,all_raw_r8,all_raw_r16,all_raw_r24,all_raw_r32,all_raw_r48,all_raw_r64,all_raw_r80,all_raw_r128,all_c1_r4,all_c1_r8,all_c1_r16,all_c1_r24,all_c1_r32,all_c1_r48,all_c1_r64,all_c1_r80,all_c1_r128
10,0.3160037977502185,0.42517063601343763,0.5408560805572371,0.6087487575380969,0.6540353365090062,0.7141275175110127,0.7525267966570401,0.778308995780828,0.8027627399687045,0.30582013336451447,0.40906030319206077,0.5166538269677841,0.5783338084628415,0.6188009738644844,0.6710836951876262,0.7028448717350184,0.7228761234230274,0.7403517954713184
11,0.2967974446834162,0.40968425280725973,0.5363153778295846,0.6083498617513908,0.6571904793978927,0.723020177852656,0.7661983578426808,0.7934105664679125,0.8151626718161644,0.2904353357513112,0.39850028136336,0.518497075745531,0.585802820349796,0.6306452726413438,0.6889890858473682,0.7256825086274776,0.74788606483535,0.7643601028094222
12,0.2812500078616472,0.40825627248468743,0.5554458823423278,0.6447911994888722,0.7036761064069971,0.7738679885471553,0.8138577687389195,0.8376027509912161,0.8564738972331842,0.276362141217361,0.3996609898495013,0.5406635935282997,0.6248614403184942,0.6791941771069026,0.7423798933576197,0.7768903627444366,0.7963552004584923,0.810728264462159
13,0.2343561838376605,0.3464573413824824,0.48418056274649196,0.5732246792188982,0.6354123851898831,0.7119076555377168,0.7545111445877732,0.7797127133028869,0.8001618191879494,0.2304026084160183,0.3384331513084622,0.46905283944100495,0.5509910629362407,0.6065393568175476,0.673708131998466,0.7094358997781165,0.7295294419813549,0.7444716238373303
14,0.29861713948132573,0.42839506672843286,0.5696369240266922,0.651187788925747,0.7058030075942082,0.7760166809708164,0.819430608732983,0.8470954739271139,0.8737681294807043,0.29356095485122546,0.41943963923667743,0.5558516023409882,0.6336165059827701,0.6847244862509327,0.7485841210421635,0.7858941755572508,0.8084387058922595,0.8284926355917547
15,0.2798160457877434,0.40635186985508903,0.5525548897244261,0.6373204964467283,0.692093838866167,0.7575923817743494,0.7951277139923378,0.8179424967148565,0.8362772268399641,0.27632201554723995,0.4000854248883149,0.5411773306530548,0.6211948150265332,0.6711332701464223,0.7291955731591282,0.760882892140452,0.778893266782498,0.7922493015667551
16,0.2909072799121933,0.4095185006130322,0.5433723515277106,0.6234865216508544,0.6765064586862171,0.7417457065002043,0.7807144759729646,0.8043706184854803,0.8223142252384608,0.28304043852156835,0.39589974630563396,0.5211903903197748,0.5949973805815995,0.643039502780424,0.7009149686633804,0.7340664029502816,0.7529909606799254,0.7659979196124143
17,0.29264781994374633,0.4324026439144986,0.5989114034370442,0.6874723993523794,0.7383228174828497,0.7935318857167225,0.8228122428612384,0.839827525894794,0.8521523725641449,0.2873958914710238,0.42328183566851574,0.5836493699917145,0.6671452634983723,0.7137486172617384,0.7626868438585139,0.7872471599640223,0.800537566352828,0.8093092641235837
18,0.2875351079795798,0.43311893599949003,0.6002980125182078,0.692219666119046,0.7497030654722249,0.8162009037724545,0.8544637956667909,0.8776637209868096,0.8937946802347541,0.2835697087954991,0.42632851710950964,0.5890483419857322,0.6772934606404653,0.7314144828499519,0.792234481370006,0.8256624476962449,0.8447477228016529,0.8570235900363973
19,0.2908296859342448,0.4206500231636524,0.5709890816401166,0.65052057633415,0.7002030323234044,0.7565694364289165,0.7864720878971965,0.8042716104136446,0.8185840515928848,0.2823988955416523,0.4080051993210472,0.5522573859966438,0.6268254808664572,0.6721498782387054,0.7216898019476428,0.7464918457960283,0.7601754927536448,0.7703368150636553
20,0.263662029998725,0.40002545812713336,0.576382368609168,0.6764554713332802,0.7362825596109615,0.7960304299605896,0.8253973939725594,0.8420771022831599,0.8551902455014876,0.25804305816233597,0.38989279679612016,0.5571480229752916,0.6504044502447202,0.7051282945911751,0.7583255411726569,0.7832736361642165,0.796371602241313,0.8057206119381188
21,0.2825561264022796,0.42063109088579625,0.5949654866883851,0.6897903325293739,0.744576945889196,0.8034158052513557,0.8354325426116485,0.8550125718629302,0.87428731982846,0.278106683311628,0.41320978880991727,0.5826110070976537,0.6728292689755725,0.7238376043154273,0.7765928547969958,0.8035171530308728,0.8189581999062778,0.8326961615685633
22,0.26757759004022996,0.3943013400570584,0.5436168303324782,0.6274349045912018,0.675916753906059,0.7258826620569528,0.7515499446115356,0.7669640868005194,0.7807107489212259,0.2579075281138138,0.3782746231444349,0.5187237814312473,0.5953418604656324,0.6380937752101532,0.6803437379661822,0.7006832800335644,0.7119863375880663,0.7212518836948965
23,0.27829484842801466,0.4039968385072194,0.5563342700814357,0.6403201943451022,0.6855565073117766,0.7317467614437775,0.7567774448407183,0.7716213853311122,0.7846516760348127,0.2658868597125351,0.3843214486400618,0.5248703135387321,0.6006465005676167,0.640353004492002,0.6788969946614148,0.6981733696681248,0.7088241015712581,0.7173459020520607
24,0.2573225253470017,0.38255515164292947,0.5364466121616488,0.6247822035462225,0.6747807377951953,0.7272208588616134,0.7533904749375001,0.7676744137004231,0.7779042643160556,0.2442146743991448,0.36215326441269585,0.5055005345662175,0.5851896102578449,0.6282918043246121,0.6710622865909226,0.6907379367787289,0.7006722175965612,0.7071463395150217
25,0.23449555709866637,0.3461886720179777,0.4760054053075764,0.5527414706322631,0.6016709890291134,0.6621546777848162,0.6989150319711004,0.7227274186159907,0.7463260980952755,0.22721052863082153,0.3338293784165485,0.45612122311124326,0.5263642248635991,0.5695436568030967,0.6210611661489918,0.6505598634064341,0.6683624875891672,0.6842399198777235
26,0.22864993977909617,0.33186020170895125,0.4557121323897229,0.52901397772371,0.5754482350138213,0.6305007367014853,0.6620834160914317,0.6809361064042665,0.697894205462254,0.21785049769510734,0.3135766416907363,0.42555508364548067,0.4897225741130723,0.528904280349095,0.5733461517832894,0.5971819146555146,0.6104361723041956,0.6212627821284415
27,0.24125569271966762,0.34145469712786114,0.45930294114573816,0.5322413188612571,0.5806074287227508,0.6405462507691673,0.6763115719235633,0.698987685894787,0.7204907466880097,0.2320079402561423,0.32639043204877666,0.4351417788965708,0.5002805595072177,0.5417851335289332,0.5912670400882141,0.6190813748825605,0.6357103892149119,0.6500216835344319
