layer,q32.conditions,q32.mean_intersection_pages,q32.page_overlap,q32.non_pinned_page_overlap,uniform8.conditions,uniform8.mean_intersection_pages,uniform8.page_overlap,uniform8.non_pinned_page_overlap,qgram8.conditions,qgram8.mean_intersection_pages,qgram8.page_overlap,qgram8.non_pinned_page_overlap
22,4096,53.0283203125,0.8285675048828125,0.8258463541666666,4096,50.112060546875,0.7830009460449219,0.7795565166170635,4096,48.8037109375,0.7625579833984375,0.7587890625
23,4096,54.271484375,0.847991943359375,0.8455791170634921,4096,51.68359375,0.80755615234375,0.8045014880952381,4096,49.978759765625,0.7809181213378906,0.7774406312003969
24,4096,51.489501953125,0.8045234680175781,0.8014206659226191,4096,48.9970703125,0.7655792236328125,0.7618582589285714,4096,48.21875,0.75341796875,0.7495039682539683
25,4096,54.241455078125,0.8475227355957031,0.8451024615575397,4096,52.423095703125,0.8191108703613281,0.8162396143353174,4096,51.458984375,0.804046630859375,0.8009362599206349
26,4096,52.57763671875,0.8215255737304688,0.8186926463293651,4096,50.542236328125,0.7897224426269531,0.7863847036210317,4096,50.0341796875,0.7817840576171875,0.7783203125
27,4096,52.75830078125,0.8243484497070312,0.8215603298611112,4096,50.90087890625,0.7953262329101562,0.7920774429563492,4096,50.58984375,0.79046630859375,0.787140376984127
28,4096,54.31689453125,0.8487014770507812,0.8462999131944444,4096,52.197998046875,0.8155937194824219,0.8126666356646826,4096,51.630615234375,0.8067283630371094,0.8036605592757936
29,4096,49.671875,0.776123046875,0.7725694444444444,4096,47.734130859375,0.7458457946777344,0.7418116009424603,4096,45.77783203125,0.7152786254882812,0.7107592385912699
30,4096,51.990966796875,0.8123588562011719,0.8093804253472222,4096,49.34912109375,0.7710800170898438,0.7674463665674603,4096,48.200439453125,0.7531318664550781,0.7492133246527778
31,4096,51.646484375,0.806976318359375,0.8039124503968254,4096,49.11083984375,0.7673568725585938,0.7636641245039683,4096,45.599853515625,0.7124977111816406,0.7079341827876984
32,4096,51.425537109375,0.8035240173339844,0.8004053509424603,4096,48.76953125,0.76202392578125,0.7582465277777778,4096,48.102294921875,0.7515983581542969,0.7476554749503969
33,4096,49.767333984375,0.7776145935058594,0.7740846664186508,4096,47.33837890625,0.7396621704101562,0.7355298239087301,4096,46.957275390625,0.7337074279785156,0.7294805617559523
34,4096,52.45654296875,0.8196334838867188,0.8167705233134921,4096,50.144287109375,0.7835044860839844,0.7800680493551587,4096,49.078369140625,0.7668495178222656,0.7631487165178571
35,4096,54.23876953125,0.8474807739257812,0.8450598338293651,4096,52.397216796875,0.8187065124511719,0.8158288380456349,4096,51.403076171875,0.8031730651855469,0.800048828125
