layer,group,document,query_position,page,token_start,token_end_inclusive,pinned,teacher_mass_mean,teacher_non_sink_mass_mean,teacher_mass_h0,teacher_mass_h1,teacher_mass_h2,teacher_mass_h3,exact.group_score,exact.rank_min,exact.rank_max,exact.owner,exact.selected,exact.cutoff,exact.score_minus_cutoff,exact.global_owner_head,exact.rank_min_minus_63,q32.group_score,q32.rank_min,q32.rank_max,q32.owner,q32.selected,q32.cutoff,q32.score_minus_cutoff,q32.global_owner_head,q32.rank_min_minus_63,q32.status,qgram32.group_score,qgram32.rank_min,qgram32.rank_max,qgram32.owner,qgram32.selected,qgram32.cutoff,qgram32.score_minus_cutoff,qgram32.global_owner_head,qgram32.rank_min_minus_63,qgram32.status
0,0,64,32767,20,640,671,False,1.0680348168534692e-05,1.0681304047466256e-05,2.460040150253917e-06,4.882075646528428e-12,8.81970117916353e-06,3.144164656987414e-05,3.144543734379113e-05,998,998,3,False,0.004178705625236034,-0.004147260187892243,3,935,3.010079853993375e-05,1001,1001,3,False,0.004122087731957436,-0.004091986933417502,3,938,neither,3.0001707273186184e-05,997,997,3,False,0.003921698313206434,-0.003891696605933248,3,934,neither
0,0,64,32767,21,672,703,False,5.751900971517898e-06,5.75232252231217e-06,1.7121975588452187e-06,4.5467886400363255e-11,7.5211969488009345e-06,1.3774162653135136e-05,1.3775823390460573e-05,1018,1018,3,False,0.004178705625236034,-0.004164929801845574,3,955,1.4027303222974297e-05,1018,1018,3,False,0.004122087731957436,-0.004108060428734461,3,955,neither,1.4096925042395014e-05,1017,1017,3,False,0.003921698313206434,-0.003907601388164039,3,954,neither
0,0,64,32767,22,704,735,False,4.834198080061469e-06,4.834570972889196e-06,1.275046429327631e-06,4.785947029309345e-13,5.863947990292218e-06,1.219779733219184e-05,1.2199267985124607e-05,1021,1021,3,False,0.004178705625236034,-0.00416650635725091,3,958,1.2920794688398018e-05,1020,1020,3,False,0.004122087731957436,-0.004109166937269038,3,957,neither,1.2622141184692737e-05,1020,1020,3,False,0.003921698313206434,-0.0039090761720217415,3,957,neither
0,0,64,32767,23,736,767,False,9.729373232403304e-06,9.730322744871955e-06,1.2586987168106134e-06,4.055119781631866e-11,6.322939952951856e-06,3.133581412839703e-05,3.1339590350398794e-05,1000,1000,3,False,0.004178705625236034,-0.004147366034885636,3,937,3.350186671013944e-05,995,995,3,False,0.004122087731957436,-0.004088585865247296,3,932,neither,3.415705941733904e-05,991,991,3,False,0.003921698313206434,-0.003887541253789095,3,928,neither
0,0,64,32767,24,768,799,False,1.2928443538839929e-05,1.292975230171578e-05,1.3655542261403752e-06,1.5177194353718781e-12,7.126871423679404e-06,4.3221345549682155e-05,4.322655877331272e-05,979,979,3,False,0.004178705625236034,-0.004135479066462722,3,916,4.394337520352565e-05,983,983,3,False,0.004122087731957436,-0.00407814435675391,3,920,neither,4.085848922841251e-05,982,982,3,False,0.003921698313206434,-0.0038808398239780217,3,919,neither
0,0,64,32767,25,800,831,False,6.6213819991389755e-06,6.621957254537847e-06,3.769197519432055e-06,2.792817843308426e-12,3.87995987694012e-06,1.8836368326446973e-05,1.8838638425222598e-05,1012,1012,3,False,0.004178705625236034,-0.004159866986810812,3,949,1.9328808775753714e-05,1009,1009,3,False,0.004122087731957436,-0.004102758923181682,3,946,neither,2.0160699932603166e-05,1008,1008,3,False,0.003921698313206434,-0.003901537613273831,3,945,neither
0,0,64,32767,26,832,863,False,1.0975377335853409e-05,1.097647054848494e-05,2.64933510152332e-06,8.265306841725995e-13,5.184785095480038e-06,3.606738755479455e-05,3.6071734939469025e-05,990,990,3,False,0.004178705625236034,-0.004142633890296565,3,927,3.356512024765834e-05,994,994,3,False,0.004122087731957436,-0.004088522611709777,3,931,neither,3.2258827559417114e-05,995,995,3,False,0.003921698313206434,-0.003889439485647017,3,932,neither
0,0,64,32767,27,864,895,False,1.5146983969316352e-05,1.5148377315199468e-05,3.98358406528132e-06,1.929322673843714e-11,1.0756308256532066e-05,4.5848024456063285e-05,4.585355054587126e-05,977,977,3,False,0.004178705625236034,-0.004132852074690163,3,914,4.4276144762989134e-05,982,982,3,False,0.004122087731957436,-0.0040778115871944465,3,919,neither,4.0204311517300084e-05,985,985,3,False,0.003921698313206434,-0.003881494001689134,3,922,neither
0,0,64,32767,28,896,927,False,9.585717634763569e-06,9.586388841853477e-06,7.051908141875174e-06,1.48276497417138e-12,9.582088750903495e-06,2.1708874555770308e-05,2.171149208152201e-05,1007,1007,3,False,0.004178705625236034,-0.004156994133154512,3,944,1.9925166270695627e-05,1007,1007,3,False,0.004122087731957436,-0.00410216256568674,3,944,neither,2.1027164621045813e-05,1007,1007,3,False,0.003921698313206434,-0.0039006711485853884,3,944,neither
0,0,64,32767,29,928,959,False,2.3373135263682343e-05,2.337519072170835e-05,7.964702490426134e-06,6.167168338511164e-12,1.8051294318865985e-05,6.747653969796374e-05,6.74846742185764e-05,943,943,3,False,0.004178705625236034,-0.004111220951017458,3,880,6.271935853874311e-05,954,954,3,False,0.004122087731957436,-0.0040593683734186925,3,891,neither,5.3737217967864126e-05,962,962,3,False,0.003921698313206434,-0.00386796109523857,3,899,neither
