model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Joint C1,64,8192,3,2.533424793950008,0.22290189320154452,0.8348821561721944,2.519227662173366,2.3727496987906584,2.8313781779643263,0.06364224183276612,0.15948994258488192,0.19040939374823918,0.2828326507211152
Qwen3-8B-Base,Joint C1,64,8192,4,2.2827268824956426,0.20098961537323756,2.0067252083175484,2.0985261123325185,2.2493546802510758,2.402984270250032,0.0849246949032989,0.13838393496855095,0.1930828658876389,0.24292646431639797
Qwen3-8B-Base,Joint C1,64,8192,5,2.6557122140308436,0.2195700715420048,2.5998537782168385,2.2503245502002085,2.674578653560127,2.8052808203473516,0.12175431697607042,0.1501098440489428,0.2147393702941094,0.2602584842466267
Qwen3-8B-Base,Joint C1,64,8192,6,2.3753442521273866,0.20920882095542348,2.2256787640587596,1.9279646586093622,2.5261309565921737,2.486424149758718,0.08597730178240148,0.1452905229822714,0.1934620143217458,0.2564536455450641
Qwen3-8B-Base,Joint C1,64,8192,7,2.6862400438152796,0.23129404982348145,2.333634381075813,2.215407802262478,2.8408063066541676,2.829589330485139,0.10682751367713994,0.12683902316978335,0.20707192362873394,0.2981321657256637
Qwen3-8B-Base,Joint C1,96,8192,0,2.460854258531277,0.05221239419676538,1.8881940911013757,2.63268173276694,2.5294221263499277,2.433708804611617,0.013265223044810481,0.02831945516673917,0.04472720096780991,0.06978264505482779
Qwen3-8B-Base,Joint C1,96,8192,1,2.7122138961465154,0.04553381856986327,2.72004961253471,3.0211495572720666,2.672137958903341,2.61542164686104,0.026233402767868785,0.02702122570767518,0.015958901647038726,0.0696757568288704
Qwen3-8B-Base,Joint C1,96,8192,2,2.62037955658223,0.0629025854295695,2.4039600288850242,2.67068593402451,2.34894129390893,2.764282935040253,0.022073412650057023,0.052874634574383794,0.055040333473140635,0.07569721657218142
Qwen3-8B-Base,Joint C1,96,8192,3,2.3632652288841105,0.05274232813564694,0.7828093338573738,2.393272478210395,2.2163437076667494,2.623006142030652,0.011569419517945545,0.03353475862191102,0.034003402624330104,0.0744606147874407
Qwen3-8B-Base,Joint C1,96,8192,4,2.1337790025038483,0.0520417353814433,1.9404982004912352,1.9836804521404308,2.1055834722286555,2.2283208750483148,0.018697687076985714,0.023538274776463197,0.04931165786521863,0.06826306911468061
Qwen3-8B-Base,Joint C1,96,8192,5,2.490151530524849,0.054009388036010186,2.5091208616894884,2.1294495945887815,2.50574310285022,2.6152480933916316,0.03102140044872037,0.02923488843751576,0.045903819584202754,0.07022575729090663
Qwen3-8B-Base,Joint C1,96,8192,6,2.2114863228308925,0.04535089165892936,2.158396007626678,1.8125226970321153,2.3697292828056575,2.288611681824658,0.018694545350320002,0.029848561405024565,0.03706034053522966,0.05864117761100429
Qwen3-8B-Base,Joint C1,96,8192,7,2.5080017709419016,0.05305577695010344,2.2459971677628454,2.109876307007187,2.6643250551193565,2.6118837553531007,0.01919030036417224,0.021307527914492308,0.030590672093922855,0.08042659059362522
