method,rank,layer,fit_rel_mse,heldout_rel_mse
Activation-aware group SVD,96,1,0.02416298911943428,0.023984518681046427
Activation-aware group SVD,96,2,0.03021583791745508,0.031611909169683386
Activation-aware group SVD,96,3,0.029766050665810284,0.030680425529855847
Activation-aware group SVD,96,4,0.03931172606835322,0.04322590969690127
Activation-aware group SVD,96,5,0.042007727654412116,0.04332712983666686
Activation-aware group SVD,96,6,0.05938970198282618,0.06058035602322698
Activation-aware group SVD,96,7,0.07080299831135557,0.07187507040933566
Activation-aware group SVD,96,8,0.08140052793285633,0.08388780274312743
Activation-aware group SVD,96,9,0.08446671780532601,0.09451842017495676
Activation-aware group SVD,96,10,0.0816433204190646,0.08877590802644211
Activation-aware group SVD,96,11,0.07454092150521355,0.08385952983194615
Activation-aware group SVD,96,12,0.05893458133094439,0.06496222137554256
Activation-aware group SVD,96,13,0.06606303155757058,0.07202964689607853
Activation-aware group SVD,96,14,0.08162070009295554,0.08825809286743502
Activation-aware group SVD,96,15,0.08257257874689997,0.08778874269271657
Activation-aware group SVD,96,16,0.08073382693582169,0.0877660722077877
Activation-aware group SVD,96,17,0.05308651668758363,0.062361415825090534
Activation-aware group SVD,96,18,0.07107493666850284,0.0776274466688341
Activation-aware group SVD,96,19,0.05041863294585594,0.05457415746041206
Activation-aware group SVD,96,20,0.07365425136820397,0.08139309663472263
Activation-aware group SVD,96,21,0.08419246913720992,0.08896044678969918
Activation-aware group SVD,96,22,0.07031916227638207,0.07565526257774043
Activation-aware group SVD,96,23,0.07343380653979943,0.07945940257787519
Activation-aware group SVD,96,24,0.04433293638730231,0.05080943351813606
Activation-aware group SVD,96,25,0.07120435231757997,0.07794806213347738
Activation-aware group SVD,96,26,0.08380366073950886,0.0987600676824608
Activation-aware group SVD,96,27,0.07617780289649365,0.08962338346761944
Activation-aware group SVD,96,28,0.07943961279615432,0.08653365827177185
Activation-aware group SVD,96,29,0.08155590192918623,0.09896409423158044
Activation-aware group SVD,96,30,0.06026908514707483,0.0712271199586192
Activation-aware group SVD,96,31,0.07785208858176774,0.0928854539283828
Activation-aware group SVD,96,32,0.06034980359361266,0.06948113157384542
Activation-aware group SVD,96,33,0.08016303422569207,0.09479346052800669
Activation-aware group SVD,96,34,0.03683912506936011,0.04488841138635222
Activation-aware group SVD,96,35,0.02743030278233776,0.03160728223803803
Joint C1,64,0,0.01983115174190043,0.019933606074921357
Joint C1,64,1,0.050731557172268925,0.05364587749257851
Joint C1,64,2,0.06127618501342815,0.06893874127622192
Joint C1,64,3,0.060241387195120004,0.06700534750805577
Joint C1,64,4,0.07816564031062626,0.0931780728126203
Joint C1,64,5,0.07956171293051463,0.08622588048129162
Joint C1,64,6,0.11335675697798879,0.12018810857014102
Joint C1,64,7,0.1324787364544024,0.1398983237938942
Joint C1,64,8,0.15569870033165056,0.1685854561339729
Joint C1,64,9,0.15996172913957832,0.1928054901697903
Joint C1,64,10,0.1523128209577541,0.1780519791365082
Joint C1,64,11,0.1369781967987569,0.16821789426279463
Joint C1,64,12,0.09672810452058207,0.11766650752170833
Joint C1,64,13,0.11164579178789563,0.1333961623485972
Joint C1,64,14,0.13508855482709445,0.1574513981632293
Joint C1,64,15,0.13122273772383247,0.14865759142988902
Joint C1,64,16,0.13589602795113648,0.16028935844555825
Joint C1,64,17,0.08612376487536713,0.11297765278802978
Joint C1,64,18,0.11751019260229438,0.1407520512495027
Joint C1,64,19,0.08464201124188618,0.10035139336900888
Joint C1,64,20,0.12883486844017628,0.15153596986438447
Joint C1,64,21,0.1422724969073151,0.1604498569411016
Joint C1,64,22,0.12316884724585785,0.142817671303655
Joint C1,64,23,0.13365746083036054,0.15392509228288226
Joint C1,64,24,0.08349413751442253,0.10739827657162435
Joint C1,64,25,0.13060721432440187,0.1524343717421161
Joint C1,64,26,0.15471484841167193,0.20017716120321563
Joint C1,64,27,0.13781082623888827,0.177773167909513
