layer,dense_v_r4,dense_v_r8,dense_v_r16,dense_v_r24,dense_v_r32,dense_v_r48,dense_v_r64,dense_v_r80,dense_v_r128,c1_v80_r4,c1_v80_r8,c1_v80_r16,c1_v80_r24,c1_v80_r32,c1_v80_r48,c1_v80_r64,c1_v80_r80,shuffled_dense_v_r4,shuffled_dense_v_r8,shuffled_dense_v_r16,shuffled_dense_v_r24,shuffled_dense_v_r32,shuffled_dense_v_r48,shuffled_dense_v_r64,shuffled_dense_v_r80,shuffled_dense_v_r128,shuffled_c1_v80_r4,shuffled_c1_v80_r8,shuffled_c1_v80_r16,shuffled_c1_v80_r24,shuffled_c1_v80_r32,shuffled_c1_v80_r48,shuffled_c1_v80_r64,shuffled_c1_v80_r80,k_pca_r4,k_pca_r8,k_pca_r16,k_pca_r24,k_pca_r32,k_pca_r48,k_pca_r64,k_pca_r80,k_pca_r128
10,0.22087736598648405,0.28911916064801463,0.3574239370637601,0.3947181929335093,0.4186622292377807,0.4471866575289195,0.4622423929723839,0.46958794830083317,0.47262793259039676,0.20010208948175623,0.26007726451764523,0.3200854705856672,0.3518451095418885,0.37155362103055944,0.39377519527623095,0.4030371530029595,0.405499839565444,-0.00011598117047909029,-0.00014823309420497477,-0.00019263974489860947,-0.000209181836013983,-0.00022045782418780857,-0.00023071199691698796,-0.000235116585601991,-0.00023703887175827165,-0.00023779523428335558,-8.84301808911081e-05,-0.0001112775626234963,-0.00013931788583390614,-0.00015103253858234078,-0.00015785669396090052,-0.00016389646591841167,-0.00016617217468059553,-0.00016661621854302533,0.34896351666684944,0.48055159355023935,0.6233529997552235,0.7105147451202432,0.7708307603373649,0.8546831588398538,0.912483312786937,0.9540081593475448,0.9999999999999996
11,0.2275041379761334,0.3031736175706434,0.38181842165648017,0.42254459583025544,0.4481082055477396,0.4779078561279714,0.492487978502917,0.49822925018891606,0.5003236133653954,0.2133138413687621,0.2822991314744939,0.3520415944261443,0.3868202912993628,0.40796964888396114,0.4304824816047023,0.43875743533603134,0.44054782011247795,-0.00011560828242210275,-0.00015497297323302517,-0.00019543434053276298,-0.0002126269639260714,-0.00022370824387929478,-0.00023260348789289065,-0.00023661811351405326,-0.00023830731617605072,-0.0002390227077759266,-8.163260253823967e-05,-0.00011177765410652629,-0.0001392080302159704,-0.0001495984209471113,-0.000156745570203759,-0.0001620841694196795,-0.00016368750113751607,-0.00016412577495181213,0.32496698558928727,0.45671245876470745,0.6076778343669302,0.6976593644373068,0.7621914002931434,0.8540121610027434,0.9176169257669899,0.9595139681001594,1.0
12,0.21990734251894517,0.31096658199506133,0.4085660418473013,0.46250374593959054,0.49555329614346444,0.5324851389773814,0.5492226146149346,0.5557612226977405,0.5578386482685197,0.20562496767045912,0.28877556214122446,0.37744199807203893,0.4251734455822085,0.4535222813057513,0.482455473344891,0.4927258727400732,0.4948821912948035,-0.00014788211183716649,-0.00018632122119782712,-0.00022882261126028203,-0.0002469588801229383,-0.0002568899445052064,-0.0002659299279342553,-0.0002694618773105284,-0.00027116304337651553,-0.000271862694020103,-0.00011549220249992831,-0.00014188666872094746,-0.000173155328522967,-0.00018608152701565794,-0.00019178586208526416,-0.00019665500201326847,-0.00019820169675163757,-0.00019867292126066194,0.29717492892736447,0.4361189975269444,0.6034900159688431,0.7104116830920018,0.7836327254049239,0.8747763242605555,0.9301958332736814,0.9661969956978296,0.9999999999999998
13,0.20516867172238828,0.29317160165671824,0.3931571801756867,0.45149678669229826,0.4885466676363126,0.5301231463451717,0.5497412117032047,0.5579799736357297,0.5605687882579029,0.19636874379952882,0.27901401793333164,0.3701441720253503,0.4218532641908878,0.4531351080804589,0.4852838574950426,0.4969817452551011,0.4993057122199922,-6.630929983836298e-05,-9.140766766707609e-05,-0.00011748621313312224,-0.00013194102965816135,-0.00014047796737060025,-0.00014880122317928457,-0.00015272487605327845,-0.00015424787042928045,-0.00015495115875985288,-4.83559558971669e-05,-6.266340898652967e-05,-8.053663111656784e-05,-8.983523913203006e-05,-9.454345894932548e-05,-9.871288614485274e-05,-0.00010038596599637462,-0.00010075782710355918,0.24825596056548016,0.3767305966193264,0.5495253555212345,0.665607060776981,0.7487436792093253,0.854967432459608,0.919721934954298,0.9619893409681661,1.0
14,0.2558121554865232,0.35862844791390847,0.46710356464750163,0.5262188192298047,0.562834899322491,0.6048913052180352,0.6252885451227641,0.6342798358939634,0.6381561502185238,0.24479511379313673,0.34141638130210267,0.4421292310871808,0.49545094509913407,0.5273528871193132,0.561304919206243,0.5744849111273803,0.5778558918503837,-6.169912588069315e-05,-8.494562842714659e-05,-0.00010745420901697722,-0.00011839262309926157,-0.00012503619486245454,-0.00013234979659462742,-0.00013542374131553236,-0.0001371128496021612,-0.00013798121116373463,-4.435818757128618e-05,-6.191040949735105e-05,-7.79117038458843e-05,-8.522212399927898e-05,-8.869718396684045e-05,-9.277562000473139e-05,-9.424104423708113e-05,-9.472200859994562e-05,0.3126393683498571,0.4524983011838707,0.6071457321393829,0.6994363901805402,0.7640424211823633,0.8518143620342309,0.9112475442626085,0.9528844061474822,1.0
15,0.24617767443187766,0.34782676435706356,0.45525734334265855,0.5113942802260855,0.5433960595238305,0.5775927719189053,0.5934175445245338,0.600083439408475,0.6023607078243052,0.2377545162223541,0.33449213470857175,0.43483421455471927,0.48529322582220114,0.512428635216265,0.5385718626587965,0.5477438971357245,0.549724762662656,-5.735237597881415e-05,-7.70428650816446e-05,-0.00010034075511236584,-0.0001123675658632195,-0.00011927078224982512,-0.00012629439135233844,-0.00012915594456905377,-0.0001304423780111308,-0.00013106076098459707,-3.982911665581512e-05,-5.2971000119417244e-05,-6.89954027134343e-05,-7.671056660410458e-05,-8.121861674667552e-05,-8.482356015440673e-05,-8.608143170177329e-05,-8.642193040098167e-05,0.29026894436958434,0.4266206346924771,0.5929943822066841,0.701391964572011,0.7781858649936094,0.870876147276149,0.928696345108043,0.9659678601411983,0.9999999999999999
16,0.2064611359157436,0.28018218210572676,0.3575810300030577,0.3989572194283716,0.42406583318013497,0.4525451603950262,0.46657618587816724,0.47246362648464996,0.4743561530275756,0.1897506690614647,0.2560597562966013,0.32488907950213075,0.3609472356557858,0.38191022432329064,0.4039383197589098,0.41249936943483334,0.4143556828326237,-5.965395935927931e-05,-7.886120127995055e-05,-9.739926454724324e-05,-0.0001067318588620636,-0.00011311759198190385,-0.00011917018881371644,-0.00012239334387417755,-0.00012355763275462284,-0.0001242263137949673,-4.075106773757109e-05,-5.4333618801999384e-05,-6.552541117327282e-05,-7.172506999819639e-05,-7.546435994520984e-05,-7.916430609888891e-05,-8.061487111704624e-05,-8.088325158139842e-05,0.31332252787364684,0.44879819975895213,0.6114754827557264,0.7137302750974029,0.7826856182412334,0.8712842565803616,0.9278190087519542,0.9652256900555487,1.0
17,0.24518814231841962,0.35437110928739407,0.4754086067977933,0.535418121965163,0.5682371218124448,0.6009381909034002,0.6156188696873366,0.6215221422289088,0.623286944484449,0.23381538887708941,0.3367031586411922,0.4500720172098298,0.5041921490043026,0.5327274359485282,0.5590880216975108,0.5686293870965926,0.5706289318761453,-0.00010306311969748849,-0.00014242249858140155,-0.00017173612928550464,-0.00018509603609345726,-0.0001914073470968558,-0.0001980101167202708,-0.00020062656685404523,-0.00020170808995736977,-0.0002021245532738969,-7.482205201331249e-05,-0.00010218753278123938,-0.00012256753368694584,-0.00013120538752572908,-0.00013466978326598378,-0.00013840953551830237,-0.00013957611096057643,-0.0001397834380093277,0.31043534416061414,0.46386167740382794,0.6531267594599314,0.7607682015748003,0.8267190868077442,0.9025340865284338,0.946216213813983,0.974667391412773,0.9999999999999999
18,0.2169513532226755,0.3218030184117956,0.4320327924566667,0.4893362154945597,0.5226103765581048,0.5576073020358955,0.57388749593645,0.5800864373946687,0.5816978589435055,0.20742494769136724,0.30648095544805587,0.41026658732596943,0.4624375541252652,0.4914881297883805,0.5197153084358528,0.5297270430380694,0.5316158459600737,-5.918263817689118e-05,-8.67692216571514e-05,-0.00011085562541363059,-0.00012271562000332192,-0.0001294905670614077,-0.00013585998379458952,-0.00013866736700740567,-0.0001398001917306546,-0.0001402319876174507,-4.147235127394122e-05,-5.9970835689260316e-05,-7.730353949053637e-05,-8.503562968054101e-05,-8.881475442831799e-05,-9.243469858929987e-05,-9.360028098881479e-05,-9.390603112621743e-05,0.3007764368563028,0.45564927113177034,0.6377290267137833,0.7412128110371887,0.8083250212177537,0.8896443845709137,0.9392869965768516,0.9718461786931876,0.9999999999999998
19,0.2225755690493158,0.31297086345427866,0.4085875278131946,0.4557418972409629,0.48307851520583533,0.510383111480731,0.5221090732448778,0.5265667950072515,0.5279179638057763,0.20536017133404566,0.2887910262828938,0.3764608934992919,0.41882684022152983,0.4423616026432341,0.4634309524040159,0.4702359447826659,0.47146594438108247,-6.731838675366753e-05,-9.01770876865493e-05,-0.00011318316889097346,-0.00012474103337623,-0.00013128587336017072,-0.00013740686685870251,-0.00014009639227041681,-0.00014134436684884455,-0.00014187615884478366,-4.689587456011002e-05,-6.120599652376102e-05,-7.74641170361301e-05,-8.49945409367725e-05,-8.880263679450495e-05,-9.21309287133798e-05,-9.343683865023489e-05,-9.374561169614437e-05,0.315014270200191,0.46232232214463137,0.6407209071243885,0.74624068949282,0.8157305225322545,0.8953589088350952,0.9411443909965164,0.9710136639368416,0.9999999999999998
