layer,method,base_rank,residual_rank,route_scan_width,additional_routing_state,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
4,exact_k,128,0,128,128,0.9609886922407895,0.8641857896000147,1.0,1.0,0.0,0.01214685698819002,0.008670050121010452
5,r16_only,0,16,16,16,0.9581784502370283,0.8644907874986529,0.73876953125,0.7259221272543073,0.4096505372435786,0.010694082205564701,0.009488755305050322
5,r20_only,0,20,20,20,0.9602622953243554,0.8714180635288358,0.7700843811035156,0.7587770512327552,0.3086370264063589,0.008290938785793869,0.007215967682641396
5,b4r16,4,16,20,16,0.9631660699378699,0.8806441815104336,0.8559722900390625,0.8488889567088336,0.13505134123988682,0.006649470452939207,0.005607191641755937
5,b16_only,16,0,16,0,0.9581741013098508,0.8644434905145317,0.8023719787597656,0.7926525650545955,0.2650383358995896,0.016239846223317665,0.015929793217145185
5,b16r16,16,16,32,16,0.9640446871053427,0.8840073989704251,0.8746261596679688,0.8684602313442156,0.09612081803061301,0.005993410048216502,0.004971094288907174
5,r32_only,0,32,32,32,0.9636340264696628,0.8837676018010825,0.8346099853515625,0.8264760472811759,0.14784208791388664,0.00621940138470069,0.005084670559267721
5,exact_k,128,0,128,128,0.9660601756768301,0.8917830458376557,1.0,1.0,0.0,0.005151183841979756,0.00421273604765227
6,r16_only,0,16,16,16,0.9410738834412768,0.8638529342715628,0.7216682434082031,0.7079797917976975,0.3982290157000534,0.009839369750343465,0.009125435983937832
6,r20_only,0,20,20,20,0.9426874506752938,0.8676110507221892,0.7578697204589844,0.7459616689011455,0.2869077837385703,0.009094730698105971,0.008409820410977289
6,b4r16,4,16,20,16,0.946092379046604,0.8753336747176945,0.8642463684082031,0.8575699592474848,0.08188512314518448,0.007771298442656058,0.0071417477239936996
6,b16_only,16,0,16,0,0.9430656927870587,0.8687696983106434,0.8147544860839844,0.8056440455839038,0.163990315340925,0.009085150125526024,0.008473439986100279
6,b16r16,16,16,32,16,0.9463906504679471,0.8759942951146513,0.8771705627441406,0.8711297682020813,0.06548531480802922,0.0076467514740657105,0.007008682560369152
6,r32_only,0,32,32,32,0.9452289341716096,0.8731670322595164,0.8220443725585938,0.8132924510864541,0.14732986994204111,0.0080748428543502,0.007440065093129622
6,exact_k,128,0,128,128,0.9479786726878956,0.8794102424290031,1.0,1.0,0.0,0.007064077711376371,0.006430523681422033
7,r16_only,0,16,16,16,0.9351190008455887,0.889193217153661,0.7369346618652344,0.7239970163209364,0.38401442079339176,0.017534119641524324,0.019712399982756503
7,r20_only,0,20,20,20,0.9369303153362125,0.8925520461052656,0.7689666748046875,0.7576043751323596,0.28710196376778185,0.016581579118335122,0.01879427125770778
7,b4r16,4,16,20,16,0.9406734665390104,0.8994202351896092,0.8645172119140625,0.857854122412391,0.10177267791732447,0.014357384993412178,0.016386423440784052
7,b16_only,16,0,16,0,0.9350356144132093,0.8876329611521214,0.8072280883789062,0.7977474995423108,0.35139583929412765,0.017270267905211457,0.01978452513054471
7,b16r16,16,16,32,16,0.9413307192735374,0.9005821563769132,0.8830528259277344,0.8773013239260763,0.07383354856574442,0.013989381206476515,0.016005625865001566
7,r32_only,0,32,32,32,0.9397413631668314,0.8976432930212468,0.82708740234375,0.818583500222303,0.15156856991234235,0.014722780207596941,0.016635110125690727
7,exact_k,128,0,128,128,0.9430968026863411,0.9036900866776705,1.0,1.0,0.0,0.0129213096156685,0.014892074092542583
8,r16_only,0,16,16,16,0.9412506509106606,0.8889588589081541,0.7054443359375,0.6809888912304756,0.4426711311173295,0.012790179536912416,0.014014274061964925
8,r20_only,0,20,20,20,0.9438654972473159,0.8939832602627575,0.7417945861816406,0.7203571146293994,0.3319168970769932,0.010991159296270318,0.011830964607958348
8,b4r16,4,16,20,16,0.9480926201213151,0.9021907810820267,0.8318824768066406,0.817924541210936,0.1451906315726979,0.008292475069998362,0.009040840752060296
8,b16_only,16,0,16,0,0.9430538220331073,0.8921979288570583,0.7572746276855469,0.7371223844107121,0.30766877132437886,0.010238212558952077,0.011217886597971223
8,b16r16,16,16,32,16,0.9491663487860933,0.9043574871029705,0.8526649475097656,0.840432473248051,0.10326126386832084,0.007707291482123488,0.008623515945464167
8,r32_only,0,32,32,32,0.9475742455106229,0.9011742111761123,0.80712890625,0.791115809352167,0.1773674916100478,0.008502250356882068,0.009219417860929158
8,exact_k,128,0,128,128,0.951750781852752,0.9098265217617154,1.0,1.0,0.0,0.006777211591514214,0.008076684639201883
9,r16_only,0,16,16,16,0.9281374365091324,0.8702759995358065,0.67657470703125,0.6606685410370119,0.46304375323234126,0.010793341101024005,0.016069189709644396
9,r20_only,0,20,20,20,0.9312540609389544,0.8756590868579224,0.7153701782226562,0.7013719821698032,0.3455514480883721,0.009422978908088379,0.014177653260112529
9,b4r16,4,16,20,16,0.9355550931068137,0.8833841995801777,0.8179054260253906,0.8089499539928511,0.13367668162391055,0.008004294430326927,0.012123330066406911
9,b16_only,16,0,16,0,0.9267214713618159,0.8676802990958095,0.7199630737304688,0.7061907607130706,0.3761457289510872,0.01101234550492527,0.016306446208450127
9,b16r16,16,16,32,16,0.9364373935386539,0.8848901214078069,0.8380012512207031,0.8300340976566076,0.10163491071580211,0.0076793393343978595,0.011702959311856595
9,r32_only,0,32,32,32,0.9354462391929701,0.8829392157495022,0.7918663024902344,0.7816302153514698,0.16982926275522914,0.008009591247138367,0.012150689562584152
9,exact_k,128,0,128,128,0.9392079035751522,0.8895818906603381,1.0,1.0,0.0,0.006966459419474737,0.0107845075084063
10,r16_only,0,16,16,16,0.9260016118641943,0.8404153801966459,0.6258544921875,0.6074538874672726,0.6360320012900047,0.017765343716665122,0.01735744661978966
10,r20_only,0,20,20,20,0.9295554134296253,0.8475084920646623,0.6649971008300781,0.648521545517724,0.49379974335897714,0.015486591564881518,0.014678103097009239
10,b4r16,4,16,20,16,0.9343563469592482,0.857610484585166,0.77886962890625,0.7679943613475189,0.20348801076761447,0.01312420020320898,0.012379233161826562
10,b16_only,16,0,16,0,0.9246745411073789,0.8372477273223922,0.6859931945800781,0.6705502318800427,0.4754635645658709,0.017861761829752312,0.018114646223394922
10,b16r16,16,16,32,16,0.935741183348,0.8607320706360042,0.80609130859375,0.796554813045077,0.14790118047676515,0.012348603669790662,0.0118453572000593
10,r32_only,0,32,32,32,0.9342207699082792,0.8572028313064948,0.7399864196777344,0.7271988635184243,0.2716466191341169,0.013112042941433363,0.012345791908031423
10,exact_k,128,0,128,128,0.9396837571403012,0.8690881641814485,1.0,1.0,0.0,0.010633135527386473,0.010191282535014758
11,r16_only,0,16,16,16,0.9203775078058243,0.8626542318961583,0.679046630859375,0.6632620358723216,0.4369150086422451,0.010568709166289129,0.014694839687357986
11,r20_only,0,20,20,20,0.9232056392356753,0.8672386865364388,0.7174873352050781,0.7035932645667344,0.32471259430167265,0.009740150012143818,0.013606092569434588
11,b4r16,4,16,20,16,0.9269884402165189,0.8735214449698105,0.811492919921875,0.8022220762213692,0.14194806970772333,0.008615253150706836,0.012005718573649609
11,b16_only,16,0,16,0,0.9148640447529033,0.852979575865902,0.7217788696289062,0.7080958589212969,0.45882019818236586,0.011489652108506762,0.016596959217768128
11,b16r16,16,16,32,16,0.9280452069360763,0.8752470997860655,0.8357048034667969,0.8276247103931382,0.10396924363885773,0.008303588846483974,0.011648047014682463
11,r32_only,0,32,32,32,0.9269606777234003,0.8733854932943359,0.7880859375,0.7776639305520803,0.16012890634010546,0.008569181142228377,0.01200657056046478
