layer,base_rank,centered_explained_fraction,predictable_energy_captured_fraction,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
0,16,0.6949038384802817,0.9522090220709842,0.6394794795196503,0.639336884545628,0.9174652099609375,0.91340611432679,0.027186688933397818,0.024180665263582993,0.006476656241049686
1,16,0.6044128126434788,0.7944320037174148,0.807895727630239,0.6995982814405579,0.8705101013183594,0.8597592221152398,2.2231165447381263,0.29295881766660975,0.22371632777903866
2,16,0.3210321251839355,0.6768426926672136,0.9629849432967603,0.795390899758786,0.8050575256347656,0.7954701896524057,0.3612888025963912,0.06467040585702045,0.03008773569740169
3,16,0.35961281752627466,0.717959016768545,0.9580667035188526,0.834868625504896,0.8448524475097656,0.8372222345788032,0.11067197845841292,0.012763237445620745,0.014698093871021532
4,16,0.39497623431182893,0.7144339743132965,0.9577290661400184,0.854995284229517,0.8329048156738281,0.8246870147995651,0.1291905933248927,0.018223479302750364,0.010920523451798992
5,16,0.3710534031358689,0.695894024399865,0.9581741013098508,0.8644434905145317,0.8023719787597656,0.7926525650545955,0.2650383358995896,0.016239846223317665,0.015929793217145185
6,16,0.4052208271204379,0.7583024621433423,0.9430656927870587,0.8687696983106434,0.8147544860839844,0.8056440455839038,0.163990315340925,0.009085150125526024,0.008473439986100279
7,16,0.4674553994964231,0.6796382603533876,0.9350356144132093,0.8876329611521214,0.8072280883789062,0.7977474995423108,0.35139583929412765,0.017270267905211457,0.01978452513054471
8,16,0.44496454285207804,0.6815875729012599,0.9430538220331073,0.8921979288570583,0.7572746276855469,0.7371223844107121,0.30766877132437886,0.010238212558952077,0.011217886597971223
9,16,0.45083502638325634,0.7240631908665814,0.9267214713618159,0.8676802990958095,0.7199630737304688,0.7061907607130706,0.3761457289510872,0.01101234550492527,0.016306446208450127
10,16,0.451821134607409,0.6971044605915678,0.9246745411073789,0.8372477273223922,0.6859931945800781,0.6705502318800427,0.4754635645658709,0.017861761829752312,0.018114646223394922
11,16,0.48697329450382254,0.6678703892495876,0.9148640447529033,0.852979575865902,0.7217788696289062,0.7080958589212969,0.45882019818236586,0.011489652108506762,0.016596959217768128
12,16,0.4334308654486165,0.7198045128711313,0.9569903090596199,0.926325638894923,0.8208541870117188,0.8120437324978411,0.6931831869442249,0.0032933801926174513,0.0033226616892350655
13,16,0.4417365661298793,0.6999304674377427,0.9324175929650664,0.871968416380696,0.62518310546875,0.6067494824528694,0.752969258261146,0.005958307067718606,0.008804000476624448
14,16,0.4428164001596654,0.6766259751135999,0.9522644598037004,0.9063214655034244,0.6823234558105469,0.6667000165907666,0.5940623806382064,0.0035154608610084345,0.00381126281046669
15,16,0.3094619441477534,0.738812408701998,0.9461047122022137,0.8598795930156484,0.68609619140625,0.6706582946353592,0.6656933405902237,0.007545087120476243,0.01074555574854699
16,16,0.38101118321023575,0.7199184942690507,0.9524515811353922,0.8620427202549763,0.710723876953125,0.696497177996207,1.0326377497403882,0.003744694653177872,0.00515349560864523
17,16,0.314136688682776,0.7328992457081968,0.9331673362758011,0.8271447793813422,0.6835441589355469,0.6679807535838336,1.0099323202157393,0.007381061605172867,0.009191358344456883
18,16,0.3245670003602446,0.7209320328669077,0.9568035765551031,0.8037191831390373,0.6837005615234375,0.6681448449380696,0.9712706820573658,0.005692103069188364,0.007754171504544515
19,16,0.3443191522361382,0.6901484757241164,0.9463984151370823,0.7786874935263768,0.6935882568359375,0.6785188201465644,0.6892756478337105,0.01052272271584709,0.01209582182147562
20,16,0.30582829029077363,0.7066267322933414,0.9428562069078907,0.759751932520885,0.6592864990234375,0.6425300911068916,0.8241878028493375,0.015113679830469635,0.02756822137964621
21,16,0.27253945278062763,0.7427160810347492,0.9459606250748038,0.7991759944707155,0.6726646423339844,0.656566176621709,0.8802600284398068,0.006023346369493882,0.008264935755113409
22,16,0.24263215355461837,0.7585884631994012,0.9524796800687909,0.774089885642752,0.6478805541992188,0.6305631994619034,0.9543517624842934,0.011170598474176655,0.016340874153146445
23,16,0.1903040800849002,0.7644947070664456,0.9580278375651687,0.7707554257940501,0.6544609069824219,0.6374671750236303,0.9640562351851258,0.012881855963157987,0.015863124961295685
24,16,0.2041848767252552,0.762591787547789,0.9548015345353633,0.7374785154825076,0.6533126831054688,0.6362624818575568,1.055203112453455,0.01582594141063624,0.018123251402299968
25,16,0.2010721967793231,0.7809897859341655,0.9569025589153171,0.731298467842862,0.6729507446289062,0.656866351433564,1.400592916936148,0.017485404011370182,0.01826839735626976
26,16,0.20495475569325922,0.8020918956066418,0.9381546375807375,0.7508728466345929,0.6171760559082031,0.5983486436889507,1.2299268862698227,0.023000533582797935,0.016411495781309297
27,16,0.21206514536432314,0.7539327219026266,0.9341660931240767,0.7193660646444187,0.6458396911621094,0.6284219659864902,1.1809408071567304,0.02507578016399873,0.0227664415966102
28,16,0.20119417626805378,0.7563549073964008,0.9398357030004263,0.7902267369790934,0.7138519287109375,0.6997790667228401,1.0378062423405936,0.010259223838600043,0.007899704376467684
29,16,0.19572117812518136,0.8124712212851735,0.9472873951308429,0.745948668802157,0.6904220581054688,0.675196907541249,1.363555935851764,0.013861540694717395,0.008349143751374336
30,16,0.18913050634295064,0.8022754566105593,0.9110413353191689,0.7864587445510551,0.6323013305664062,0.6142177818692289,0.8556415437196847,0.02044460006101073,0.013948852051847888
31,16,0.3062628303493065,0.7483984845973373,0.9438075196230784,0.8567364106420428,0.7761001586914062,0.765088684624061,0.3456114554719534,0.0030981993483113223,0.0019464234376875608
0,24,0.7129616044807969,0.9769531186667684,0.6394947434891947,0.6393521347199567,0.9185409545898438,0.9145347665762529,0.02650400259426533,0.024106843322726078,0.006456450316841978
1,24,0.6739626811781374,0.8858474076639608,0.8081192276440561,0.699919156380929,0.8737449645996094,0.8632626571962912,2.2175877437722167,0.29287153388934306,0.22354122969018123
2,24,0.3714419654335555,0.7831234332377347,0.9631575369276106,0.7962771201273426,0.8097076416015625,0.8003489988623187,0.35328303069400135,0.06156180450599471,0.0290265544585852
3,24,0.4010655249069314,0.8007184279545383,0.958108147722669,0.8350533421617001,0.8470916748046875,0.8395715892547742,0.10711983523651725,0.012695060591175752,0.014589869613282748
4,24,0.44468647950217577,0.804349986848343,0.9578942165244371,0.8554315065266564,0.8376655578613281,0.8296818928793073,0.12192170316848205,0.01797497261943877,0.01079680791262676
5,24,0.42218720150019273,0.791793171061433,0.9582691487157717,0.8643505924846977,0.8052711486816406,0.7956943162716925,0.2641982318891678,0.016155214791661147,0.015834917074395074
6,24,0.4498753390092027,0.8418658528794144,0.9433685287367553,0.8693130684550852,0.8203659057617188,0.8115314381429926,0.15413316956255585,0.008898984065765921,0.008294773861885908
7,24,0.5335132041963931,0.7756803886878043,0.9355806011008099,0.8886294914409518,0.8159217834472656,0.8068687545601279,0.3333284187610843,0.01676218431902096,0.01939171856389858
8,24,0.5185491768364767,0.7943030080655558,0.9439513997640461,0.8939625746570528,0.7680625915527344,0.7488060153780445,0.2770340677591101,0.009640095075155694,0.010670740424491698
9,24,0.5113528714855763,0.8212578218620553,0.9276154694380239,0.8691647221567109,0.7300529479980469,0.7167768600629643,0.34926975893904455,0.010679846012287117,0.01587969328905236
10,24,0.5237164823767733,0.8080301428736821,0.9265661641256884,0.8409672592533752,0.7037620544433594,0.6891929706325755,0.4299914598232135,0.01620051835802072,0.016195745124420145
11,24,0.5651958954637654,0.7751505205029086,0.915980523917824,0.8548343554139137,0.7348823547363281,0.7218437760602683,0.42694645590381697,0.011024635348785177,0.015959575469433922
12,24,0.48541828916878227,0.8061407320685972,0.9571788877947256,0.9266554679488763,0.8250198364257812,0.8164142509922385,0.6875118066527648,0.00326031919322323,0.0032712226060200244
13,24,0.5201980560011505,0.8242524989204472,0.9344221972860396,0.8750663779210299,0.6425399780273438,0.6249599722214043,0.6987564493610989,0.005509725015507961,0.008234420870883016
14,24,0.5242858722474221,0.8011117912972201,0.9539067426230758,0.9093995933653787,0.70245361328125,0.687820180261042,0.5316403649194399,0.0030931616782063098,0.003325495302209344
