layer,objective,base_rank,residual_rank,heldout_training_objective,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
2,page_fisher,16,16,0.2658825523207931,0.9688010255340487,0.8203736511059105,0.8639030456542969,0.8572097471915185,0.150113845935266,0.02388527022672923,0.01120751067567424
3,page_fisher,16,16,0.20210035021971756,0.9598945914767683,0.8416650400031358,0.9153633117675781,0.9112008477095515,0.030024096158740576,0.010766433779353194,0.01223142780230213
4,page_fisher,16,16,0.1911186453732873,0.960227660369128,0.8619379791198298,0.9004898071289062,0.8955958632286638,0.04116208548293798,0.01293545689302921,0.008966743994461752
5,page_fisher,16,16,0.16209828660385553,0.9640446871053427,0.8840073989704251,0.8746261596679688,0.8684602313442156,0.09612081803061301,0.005993410048216502,0.004971094288907174
6,page_fisher,16,16,0.28910281874261556,0.9463906504679471,0.8759942951146513,0.8771705627441406,0.8711297682020813,0.06548531480802922,0.0076467514740657105,0.007008682560369152
7,page_fisher,16,16,0.0889179990814992,0.9413307192735374,0.9005821563769132,0.8830528259277344,0.8773013239260763,0.07383354856574442,0.013989381206476515,0.016005625865001566
8,page_fisher,16,16,0.2540302991805633,0.9491663487860933,0.9043574871029705,0.8526649475097656,0.840432473248051,0.10326126386832084,0.007707291482123488,0.008623515945464167
9,page_fisher,16,16,0.20311816166160743,0.9364373935386539,0.8848901214078069,0.8380012512207031,0.8300340976566076,0.10163491071580211,0.0076793393343978595,0.011702959311856595
10,page_fisher,16,16,0.18892507924421834,0.935741183348,0.8607320706360042,0.80609130859375,0.796554813045077,0.14790118047676515,0.012348603669790662,0.0118453572000593
11,page_fisher,16,16,0.1157119009626397,0.9280452069360763,0.8752470997860655,0.8357048034667969,0.8276247103931382,0.10396924363885773,0.008303588846483974,0.011648047014682463
12,page_fisher,16,16,0.03067804336898903,0.9701668791240081,0.9495978192426264,0.9014854431152344,0.8966404616367072,0.0768703888716118,0.001912304815573746,0.0019436068701154166
13,page_fisher,16,16,0.12837297935391787,0.9514418334001675,0.908394516678527,0.8099861145019531,0.8006411646492779,0.1469889540821896,0.0031187654089870945,0.0045211695820773935
14,page_fisher,16,16,0.1664011659069577,0.9626492848619819,0.9259589954745024,0.82476806640625,0.8161500996211544,0.1406093121986487,0.0021135636511547045,0.002203825983386674
15,page_fisher,16,16,0.2037194461727489,0.9575853366404772,0.8908438797807321,0.8126716613769531,0.803458790644072,0.18132606967992615,0.0035872388694800795,0.00464496815505534
16,page_fisher,16,16,0.06496313028198321,0.9681473927339539,0.909655368886888,0.8416938781738281,0.8339083299506456,0.15104293322656304,0.0020241987927516014,0.00305328060856139
17,page_fisher,16,16,0.06945400451237738,0.9516578757902607,0.8822799785993993,0.8242835998535156,0.8156418055295944,0.16047642783087213,0.00395582381935676,0.0050463327556446854
18,page_fisher,16,16,0.04838440141110529,0.9695098197553307,0.8677923955256119,0.827392578125,0.8189036863623187,0.1345212072628783,0.0035615794570104196,0.0051337982838911694
19,page_fisher,16,16,0.06665778841053448,0.9563678324921057,0.8250281739747152,0.8299407958984375,0.8215772246476263,0.12596511833544355,0.0069356636118757505,0.008402397272792735
20,page_fisher,16,16,0.06727142025128653,0.9576443893602118,0.8261065913829952,0.8158416748046875,0.8067847051424906,0.14088926538533997,0.006102673630123878,0.017705471788297723
21,page_fisher,16,16,0.0718454441164294,0.9582494269125164,0.8522952448111027,0.8157005310058594,0.8066366191487759,0.1392148897793959,0.0032396557624292752,0.004545458914911699
22,page_fisher,16,16,0.055133910692280734,0.9670869741821662,0.8498820462264121,0.8228034973144531,0.8140889087226242,0.13982009713799926,0.0040608736732622094,0.007681616772114002
23,page_fisher,16,16,0.05591596251275289,0.9710638070246205,0.8485294407000765,0.8192253112792969,0.810334748821333,0.14283619202615228,0.00511342388326305,0.008017928844877016
24,page_fisher,16,16,0.04902727510048769,0.9700117250904441,0.8370123602217063,0.8298835754394531,0.8215171889169142,0.13124948862969177,0.005088870830848802,0.005876125908693621
25,page_fisher,16,16,0.03682831374767453,0.9726300511974841,0.8498078736010939,0.8258705139160156,0.8173067653551698,0.1503595849935664,0.005978566013764085,0.0062916369797671465
26,page_fisher,16,16,0.05794340713440285,0.9607764221727848,0.8479825932299718,0.8048553466796875,0.7952580638229847,0.18404272914631292,0.005633494132710823,0.004164234052797526
27,page_fisher,16,16,0.045450569850345665,0.9566914591705427,0.8280340066412464,0.8206825256347656,0.8118636301951483,0.14425779893645085,0.008671587138549222,0.008582511364821866
28,page_fisher,16,16,0.04865474647035817,0.9572992232860997,0.8655854885000736,0.8349876403808594,0.8268722753273323,0.1594711514917435,0.0054828292616046605,0.0041054060308884895
29,page_fisher,16,16,0.035628385801341575,0.9664975281339139,0.8531221145531163,0.8384666442871094,0.8305223780917004,0.14601894994848408,0.005570173830147241,0.003120470798879182
30,page_fisher,16,16,0.11422665562457433,0.9363518091849983,0.8486495738616213,0.7995071411132812,0.7896468327380717,0.19673014593718108,0.0062623991323600215,0.003943813891008865
31,page_fisher,16,16,0.14656790735177141,0.9513265842106193,0.8755675334250554,0.8601303100585938,0.8532514707185328,0.11271287780255079,0.0018919363276433275,0.0009747326640559173
